Nama Tempat Wisata,Alamat,Jenis Wisata,Deskripsi,Koordinat,Rating,Kota,Deskripsi Singkat
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",4.8,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",4.6,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",4.9,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",5.0,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Curug Maribaya,"Maribaya, Lembang",Alam,Air terjun alami dengan pemandangan hutan yang asri.,"-6.8087, 107.6702",4.6,Bandung,Air terjun alami dengan pemandangan hutan yang asri.
Kawah Putih,"Ciwidey, Bandung",Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan.,"-7.1664, 107.4026",4.4,Bandung,Danau kawah vulkanik dengan air berwarna putih kehijauan.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",4.5,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",3.6,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
Orchid Forest Cikole,"Cikole, Lembang",Alam,Hutan anggrek dengan jembatan gantung dan spot foto unik.,"-6.7902, 107.6289",3.6,Bandung,Hutan anggrek dengan jembatan gantung dan spot foto unik.
Orchid Forest Cikole,"Cikole, Lembang",Alam,Hutan anggrek dengan jembatan gantung dan spot foto unik.,"-6.7902, 107.6289",4.3,Bandung,Hutan anggrek dengan jembatan gantung dan spot foto unik.
Orchid Forest Cikole,"Cikole, Lembang",Alam,Hutan anggrek dengan jembatan gantung dan spot foto unik.,"-6.7902, 107.6289",3.5,Bandung,Hutan anggrek dengan jembatan gantung dan spot foto unik.
Kawah Putih,"Ciwidey, Bandung",Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan.,"-7.1664, 107.4026",4.8,Bandung,Danau kawah vulkanik dengan air berwarna putih kehijauan.
Tebing Keraton,"Dago, Bandung",Alam,Tebing dengan pemandangan hutan dan sunrise yang indah.,"-6.8364, 107.6636",4.1,Bandung,Tebing dengan pemandangan hutan dan sunrise yang indah.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",4.0,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
Kawah Putih,"Ciwidey, Bandung",Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan.,"-7.1664, 107.4026",3.5,Bandung,Danau kawah vulkanik dengan air berwarna putih kehijauan.
Orchid Forest Cikole,"Cikole, Lembang",Alam,Hutan anggrek dengan jembatan gantung dan spot foto unik.,"-6.7902, 107.6289",4.7,Bandung,Hutan anggrek dengan jembatan gantung dan spot foto unik.
Orchid Forest Cikole,"Cikole, Lembang",Alam,Hutan anggrek dengan jembatan gantung dan spot foto unik.,"-6.7902, 107.6289",4.7,Bandung,Hutan anggrek dengan jembatan gantung dan spot foto unik.
Trans Studio Bandung,"Jl. Gatot Subroto No.289, Bandung",Taman Hiburan,Taman hiburan indoor terbesar di Indonesia.,"-6.9245, 107.6360",3.9,Bandung,Taman hiburan indoor terbesar di Indonesia.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",4.2,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Kawah Putih,"Ciwidey, Bandung",Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan.,"-7.1664, 107.4026",4.1,Bandung,Danau kawah vulkanik dengan air berwarna putih kehijauan.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",4.6,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Orchid Forest Cikole,"Cikole, Lembang",Alam,Hutan anggrek dengan jembatan gantung dan spot foto unik.,"-6.7902, 107.6289",4.9,Bandung,Hutan anggrek dengan jembatan gantung dan spot foto unik.
Kawah Putih,"Ciwidey, Bandung",Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan.,"-7.1664, 107.4026",4.7,Bandung,Danau kawah vulkanik dengan air berwarna putih kehijauan.
Trans Studio Bandung,"Jl. Gatot Subroto No.289, Bandung",Taman Hiburan,Taman hiburan indoor terbesar di Indonesia.,"-6.9245, 107.6360",4.4,Bandung,Taman hiburan indoor terbesar di Indonesia.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",5.0,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Curug Maribaya,"Maribaya, Lembang",Alam,Air terjun alami dengan pemandangan hutan yang asri.,"-6.8087, 107.6702",4.9,Bandung,Air terjun alami dengan pemandangan hutan yang asri.
Orchid Forest Cikole,"Cikole, Lembang",Alam,Hutan anggrek dengan jembatan gantung dan spot foto unik.,"-6.7902, 107.6289",3.7,Bandung,Hutan anggrek dengan jembatan gantung dan spot foto unik.
Curug Maribaya,"Maribaya, Lembang",Alam,Air terjun alami dengan pemandangan hutan yang asri.,"-6.8087, 107.6702",3.7,Bandung,Air terjun alami dengan pemandangan hutan yang asri.
Tebing Keraton,"Dago, Bandung",Alam,Tebing dengan pemandangan hutan dan sunrise yang indah.,"-6.8364, 107.6636",3.7,Bandung,Tebing dengan pemandangan hutan dan sunrise yang indah.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",4.3,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",4.5,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",3.7,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Tebing Keraton,"Dago, Bandung",Alam,Tebing dengan pemandangan hutan dan sunrise yang indah.,"-6.8364, 107.6636",4.4,Bandung,Tebing dengan pemandangan hutan dan sunrise yang indah.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",4.9,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",4.9,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",4.4,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Kawah Putih,"Ciwidey, Bandung",Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan.,"-7.1664, 107.4026",4.1,Bandung,Danau kawah vulkanik dengan air berwarna putih kehijauan.
Trans Studio Bandung,"Jl. Gatot Subroto No.289, Bandung",Taman Hiburan,Taman hiburan indoor terbesar di Indonesia.,"-6.9245, 107.6360",4.9,Bandung,Taman hiburan indoor terbesar di Indonesia.
Orchid Forest Cikole,"Cikole, Lembang",Alam,Hutan anggrek dengan jembatan gantung dan spot foto unik.,"-6.7902, 107.6289",3.6,Bandung,Hutan anggrek dengan jembatan gantung dan spot foto unik.
Orchid Forest Cikole,"Cikole, Lembang",Alam,Hutan anggrek dengan jembatan gantung dan spot foto unik.,"-6.7902, 107.6289",4.1,Bandung,Hutan anggrek dengan jembatan gantung dan spot foto unik.
Curug Maribaya,"Maribaya, Lembang",Alam,Air terjun alami dengan pemandangan hutan yang asri.,"-6.8087, 107.6702",4.1,Bandung,Air terjun alami dengan pemandangan hutan yang asri.
Orchid Forest Cikole,"Cikole, Lembang",Alam,Hutan anggrek dengan jembatan gantung dan spot foto unik.,"-6.7902, 107.6289",4.1,Bandung,Hutan anggrek dengan jembatan gantung dan spot foto unik.
Kawah Putih,"Ciwidey, Bandung",Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan.,"-7.1664, 107.4026",3.5,Bandung,Danau kawah vulkanik dengan air berwarna putih kehijauan.
Curug Maribaya,"Maribaya, Lembang",Alam,Air terjun alami dengan pemandangan hutan yang asri.,"-6.8087, 107.6702",3.6,Bandung,Air terjun alami dengan pemandangan hutan yang asri.
Curug Maribaya,"Maribaya, Lembang",Alam,Air terjun alami dengan pemandangan hutan yang asri.,"-6.8087, 107.6702",4.7,Bandung,Air terjun alami dengan pemandangan hutan yang asri.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",3.5,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",3.7,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Curug Maribaya,"Maribaya, Lembang",Alam,Air terjun alami dengan pemandangan hutan yang asri.,"-6.8087, 107.6702",5.0,Bandung,Air terjun alami dengan pemandangan hutan yang asri.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",3.9,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
Curug Maribaya,"Maribaya, Lembang",Alam,Air terjun alami dengan pemandangan hutan yang asri.,"-6.8087, 107.6702",4.4,Bandung,Air terjun alami dengan pemandangan hutan yang asri.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",4.0,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",4.7,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",3.9,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Curug Maribaya,"Maribaya, Lembang",Alam,Air terjun alami dengan pemandangan hutan yang asri.,"-6.8087, 107.6702",4.3,Bandung,Air terjun alami dengan pemandangan hutan yang asri.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",4.8,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Kawah Putih,"Ciwidey, Bandung",Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan.,"-7.1664, 107.4026",5.0,Bandung,Danau kawah vulkanik dengan air berwarna putih kehijauan.
Trans Studio Bandung,"Jl. Gatot Subroto No.289, Bandung",Taman Hiburan,Taman hiburan indoor terbesar di Indonesia.,"-6.9245, 107.6360",4.7,Bandung,Taman hiburan indoor terbesar di Indonesia.
Trans Studio Bandung,"Jl. Gatot Subroto No.289, Bandung",Taman Hiburan,Taman hiburan indoor terbesar di Indonesia.,"-6.9245, 107.6360",4.8,Bandung,Taman hiburan indoor terbesar di Indonesia.
Trans Studio Bandung,"Jl. Gatot Subroto No.289, Bandung",Taman Hiburan,Taman hiburan indoor terbesar di Indonesia.,"-6.9245, 107.6360",4.5,Bandung,Taman hiburan indoor terbesar di Indonesia.
Trans Studio Bandung,"Jl. Gatot Subroto No.289, Bandung",Taman Hiburan,Taman hiburan indoor terbesar di Indonesia.,"-6.9245, 107.6360",4.8,Bandung,Taman hiburan indoor terbesar di Indonesia.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",4.1,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Tebing Keraton,"Dago, Bandung",Alam,Tebing dengan pemandangan hutan dan sunrise yang indah.,"-6.8364, 107.6636",4.5,Bandung,Tebing dengan pemandangan hutan dan sunrise yang indah.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",3.9,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",4.3,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
Tebing Keraton,"Dago, Bandung",Alam,Tebing dengan pemandangan hutan dan sunrise yang indah.,"-6.8364, 107.6636",4.2,Bandung,Tebing dengan pemandangan hutan dan sunrise yang indah.
Tebing Keraton,"Dago, Bandung",Alam,Tebing dengan pemandangan hutan dan sunrise yang indah.,"-6.8364, 107.6636",4.0,Bandung,Tebing dengan pemandangan hutan dan sunrise yang indah.
Orchid Forest Cikole,"Cikole, Lembang",Alam,Hutan anggrek dengan jembatan gantung dan spot foto unik.,"-6.7902, 107.6289",4.3,Bandung,Hutan anggrek dengan jembatan gantung dan spot foto unik.
Orchid Forest Cikole,"Cikole, Lembang",Alam,Hutan anggrek dengan jembatan gantung dan spot foto unik.,"-6.7902, 107.6289",4.9,Bandung,Hutan anggrek dengan jembatan gantung dan spot foto unik.
Tebing Keraton,"Dago, Bandung",Alam,Tebing dengan pemandangan hutan dan sunrise yang indah.,"-6.8364, 107.6636",4.9,Bandung,Tebing dengan pemandangan hutan dan sunrise yang indah.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",4.6,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Trans Studio Bandung,"Jl. Gatot Subroto No.289, Bandung",Taman Hiburan,Taman hiburan indoor terbesar di Indonesia.,"-6.9245, 107.6360",3.9,Bandung,Taman hiburan indoor terbesar di Indonesia.
Tebing Keraton,"Dago, Bandung",Alam,Tebing dengan pemandangan hutan dan sunrise yang indah.,"-6.8364, 107.6636",3.7,Bandung,Tebing dengan pemandangan hutan dan sunrise yang indah.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",3.5,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",4.7,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",4.6,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Trans Studio Bandung,"Jl. Gatot Subroto No.289, Bandung",Taman Hiburan,Taman hiburan indoor terbesar di Indonesia.,"-6.9245, 107.6360",4.7,Bandung,Taman hiburan indoor terbesar di Indonesia.
Curug Maribaya,"Maribaya, Lembang",Alam,Air terjun alami dengan pemandangan hutan yang asri.,"-6.8087, 107.6702",4.2,Bandung,Air terjun alami dengan pemandangan hutan yang asri.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",4.5,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
Tebing Keraton,"Dago, Bandung",Alam,Tebing dengan pemandangan hutan dan sunrise yang indah.,"-6.8364, 107.6636",4.9,Bandung,Tebing dengan pemandangan hutan dan sunrise yang indah.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",3.7,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",4.4,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Curug Maribaya,"Maribaya, Lembang",Alam,Air terjun alami dengan pemandangan hutan yang asri.,"-6.8087, 107.6702",3.9,Bandung,Air terjun alami dengan pemandangan hutan yang asri.
Trans Studio Bandung,"Jl. Gatot Subroto No.289, Bandung",Taman Hiburan,Taman hiburan indoor terbesar di Indonesia.,"-6.9245, 107.6360",4.6,Bandung,Taman hiburan indoor terbesar di Indonesia.
Tebing Keraton,"Dago, Bandung",Alam,Tebing dengan pemandangan hutan dan sunrise yang indah.,"-6.8364, 107.6636",3.9,Bandung,Tebing dengan pemandangan hutan dan sunrise yang indah.
Kawah Putih,"Ciwidey, Bandung",Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan.,"-7.1664, 107.4026",4.9,Bandung,Danau kawah vulkanik dengan air berwarna putih kehijauan.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",4.6,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Tebing Keraton,"Dago, Bandung",Alam,Tebing dengan pemandangan hutan dan sunrise yang indah.,"-6.8364, 107.6636",4.9,Bandung,Tebing dengan pemandangan hutan dan sunrise yang indah.
Curug Maribaya,"Maribaya, Lembang",Alam,Air terjun alami dengan pemandangan hutan yang asri.,"-6.8087, 107.6702",4.3,Bandung,Air terjun alami dengan pemandangan hutan yang asri.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",4.6,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Trans Studio Bandung,"Jl. Gatot Subroto No.289, Bandung",Taman Hiburan,Taman hiburan indoor terbesar di Indonesia.,"-6.9245, 107.6360",3.9,Bandung,Taman hiburan indoor terbesar di Indonesia.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",4.3,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Curug Maribaya,"Maribaya, Lembang",Alam,Air terjun alami dengan pemandangan hutan yang asri.,"-6.8087, 107.6702",3.6,Bandung,Air terjun alami dengan pemandangan hutan yang asri.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",4.6,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",4.0,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",4.5,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",4.1,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Kawah Putih,"Ciwidey, Bandung",Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan.,"-7.1664, 107.4026",4.7,Bandung,Danau kawah vulkanik dengan air berwarna putih kehijauan.
Kawah Putih,"Ciwidey, Bandung",Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan.,"-7.1664, 107.4026",4.9,Bandung,Danau kawah vulkanik dengan air berwarna putih kehijauan.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",4.8,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Orchid Forest Cikole,"Cikole, Lembang",Alam,Hutan anggrek dengan jembatan gantung dan spot foto unik.,"-6.7902, 107.6289",4.0,Bandung,Hutan anggrek dengan jembatan gantung dan spot foto unik.
Curug Maribaya,"Maribaya, Lembang",Alam,Air terjun alami dengan pemandangan hutan yang asri.,"-6.8087, 107.6702",4.3,Bandung,Air terjun alami dengan pemandangan hutan yang asri.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",4.3,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",3.9,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",4.3,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Curug Maribaya,"Maribaya, Lembang",Alam,Air terjun alami dengan pemandangan hutan yang asri.,"-6.8087, 107.6702",4.4,Bandung,Air terjun alami dengan pemandangan hutan yang asri.
Kawah Putih,"Ciwidey, Bandung",Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan.,"-7.1664, 107.4026",4.1,Bandung,Danau kawah vulkanik dengan air berwarna putih kehijauan.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",4.5,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Kawah Putih,"Ciwidey, Bandung",Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan.,"-7.1664, 107.4026",4.1,Bandung,Danau kawah vulkanik dengan air berwarna putih kehijauan.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",4.4,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",4.2,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",5.0,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Trans Studio Bandung,"Jl. Gatot Subroto No.289, Bandung",Taman Hiburan,Taman hiburan indoor terbesar di Indonesia.,"-6.9245, 107.6360",3.9,Bandung,Taman hiburan indoor terbesar di Indonesia.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",4.3,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",3.6,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",3.6,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",4.7,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Kawah Putih,"Ciwidey, Bandung",Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan.,"-7.1664, 107.4026",4.8,Bandung,Danau kawah vulkanik dengan air berwarna putih kehijauan.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",3.8,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
